Header Section,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product,VC5268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Plan,Rev(H),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release Date,9/27/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comment,Dual Band," 501~588 is correlation golden in Sigurd, 600~629 is generated in Goodark (5268Q)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Section,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
Test Item,Site No,Device ID,GSM915 Idle Current,GSM915 Max Pout @ 0dBm Drive,GSM915 Max Pout,GSM915 Max Icc,GSM915 Max PAE,GSM915 Rated Pout,GSM915 Rated Vramp,GSM915 Rated Icc,GSM915 Rated PAE,GSM915 2nd har@33dBm,GSM915 3rd har@33dBm,GSM915 Fwd Isolation 1,GSM915 Fwd Isolation 2,GSM915 Pout Leakage@RX0,GSM915 Pout Leakage@RX1,GSM915 CMOS Pout,GSM915 Pout Slope,GSM915 Stress Delta,DCS1785 Idle Current,DCS1785 Max Pout @ 0dBm Drive,DCS1785 Max Pout,DCS1785 Max Icc,DCS1785 Max PAE,DCS1785 Rated Pout,DCS1785 Rated Vramp,DCS1785 Rated Icc,DCS1785 Rated PAE,DCS1785 2nd har@33dBm,DCS1785 3rd har@33dBm,DCS1785 Fwd Isolation 1,DCS1785 Fwd Isolation 2,DCS1785 Pout Leakage@RX0,DCS1785 Pout Leakage@RX1,DCS1785 CMOS Pout,DCS1785 Pout Slope,DCS1785 Stress Delta,Insertion Loss Rx0 960MHz,Insertion Loss Rx1 1805MHz,Leakage Current,Leakage Current Delay Time,Test Time,Index Time
Low Tolerance,,,60,0.3,0.3,60,,,,60,,2,2,3,2,3,3,1,,,60,0.3,0.3,60,,,,60,,3,3,3,2,3,3,1,,,0.3,0.3,5,,,
High Tolerance,,,60,0.3,0.3,60,,,,60,,2,2,3,2,3,3,1,,,60,0.3,0.3,60,,,,60,,3,3,3,2,3,3,1,,,0.3,0.3,10,,,
Enable,,,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0
331,1,331,799.987,33.732,33.889,1628.269,41.643,33.023,1.499,1422.096,38.886,-41.952,-37.587,-58.763,-28.889,1.162,-3.845,12.003,113.325,-0.004,615.582,31.398,31.571,1169.457,36.155,30.028,1.413,938.538,31.643,-41.629,-30.332,-68.336,-31.099,-0.029,-1.938,7.327,125.869,-0.002,-1.625,-1.804,6.157,55,809.415,10666.333
332,1,332,764.74,33.612,33.768,1578.327,41.753,33.033,1.521,1399.036,39.597,-40.695,-38.089,-58.553,-29.683,1.275,-3.602,11.774,120.692,0.009,588.283,31.311,31.524,1163.292,35.964,30.018,1.429,939.17,31.55,-40.278,-33.496,-70.068,-30.887,-0.171,-1.775,7.184,123.964,0.001,-1.625,-1.788,6.655,55,799.66,7502.667
333,1,333,793.16,33.729,33.894,1658.562,40.946,33.021,1.521,1453.5,38.058,-42.471,-37.5,-58.307,-30.957,1.14,-3.798,11.423,119.026,0.004,606.033,31.312,31.519,1175.382,35.539,30.006,1.442,949.945,31.099,-40.913,-32.635,-70.236,-30.536,-0.257,-1.906,6.653,124.841,0,-1.662,-1.827,6.128,55,854.517,7533.667
334,1,334,790.73,33.688,33.843,1633.798,41.066,33.029,1.526,1436.488,38.561,-41.362,-38.317,-59.092,-30.332,1.26,-3.728,11.6,122.139,-0.006,608.352,31.309,31.504,1154.624,36.074,30.013,1.437,929.265,31.864,-38.355,-32.796,-68.735,-31.174,-0.099,-1.857,6.855,128.149,0.002,-1.609,-1.785,6.557,55,796.797,6715
335,1,335,797.029,33.687,33.868,1611.619,41.863,33.032,1.517,1419.267,39.04,-41.895,-37.423,-57.895,-30.196,1.201,-3.87,11.39,120.897,0.004,616.229,31.335,31.553,1169.285,36.009,30.008,1.441,942.518,31.366,-40.34,-33.253,-70.345,-31.039,-0.325,-1.983,6.819,123.596,-0.003,-1.639,-1.793,5.206,555,1258.824,8089
336,1,336,776.651,33.689,33.91,1686.17,40.432,33.02,1.543,1484.15,37.29,-42.632,-37.875,-58.629,-30.787,1.132,-3.675,11.141,122.437,0.004,598.31,31.171,31.392,1150.525,35.286,30.011,1.46,940.076,31.472,-38.944,-32.646,-69.572,-30.066,-0.144,-1.82,6.639,128.262,0.014,-1.628,-1.785,6.217,55,803.849,7592.333
