Header Section,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product,VC7810E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Plan,Rev(-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release Date,2012/10/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comment,VC7810E_Q_sigurd_PAx01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Section,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137
Test Item,Site No,Device ID,GSM824 Idle Current,GSM824 Max Pout @ 0dBm Drive,GSM824 Max Pout,GSM824 Max Icc,GSM824 Max PAE,GSM824 Rated Pout,GSM824 Rated Vramp,GSM824 Rated Icc,GSM824 Rated PAE,GSM824 2nd har@33dBm,GSM824 3rd har@33dBm,GSM824 Fwd Isolation 1,GSM824 Fwd Isolation 2,GSM824 Pout Leakage@RX1,GSM824 Pout Leakage@RX2,GSM824 Pout Leakage@RX3,GSM824 Pout Leakage@RX4,GSM824 CMOS Pout,GSM824 Pout Slope,GSM824 Stress Delta,GSM915 Idle Current,GSM915 Max Pout @ 0dBm Drive,GSM915 Max Pout,GSM915 Max Icc,GSM915 Max PAE,GSM915 Rated Pout,GSM915 Rated Vramp,GSM915 Rated Icc,GSM915 Rated PAE,GSM915 2nd har@33dBm,GSM915 3rd har@33dBm,GSM915 Fwd Isolation 1,GSM915 Fwd Isolation 2,GSM915 Pout Leakage@RX1,GSM915 Pout Leakage@RX2,GSM915 Pout Leakage@RX3,GSM915 Pout Leakage@RX4,GSM915 CMOS Pout,GSM915 Pout Slope,GSM915 Stress Delta,DCS1785 Idle Current,DCS1785 Max Pout @ 0dBm Drive,DCS1785 Max Pout,DCS1785 Max Icc,DCS1785 Max PAE,DCS1785 Rated Pout,DCS1785 Rated Vramp,DCS1785 Rated Icc,DCS1785 Rated PAE,DCS1785 2nd har@33dBm,DCS1785 3rd har@33dBm,DCS1785 Fwd Isolation 1,DCS1785 Fwd Isolation 2,DCS1785 Pout Leakage@RX1,DCS1785 Pout Leakage@RX2,DCS1785 Pout Leakage@RX3,DCS1785 Pout Leakage@RX4,DCS1785 CMOS Pout,DCS1785 Pout Slope,DCS1785 Stress Delta,DCS1910 Idle Current,DCS1910 Max Pout @ 0dBm Drive,DCS1910 Max Pout,DCS1910 Max Icc,DCS1910 Max PAE,DCS1910 Rated Pout,DCS1910 Rated Vramp,DCS1910 Rated Icc,DCS1910 Rated PAE,DCS1910 2nd har@33dBm,DCS1910 3rd har@33dBm,DCS1910 Fwd Isolation 1,DCS1910 Fwd Isolation 2,DCS1910 Pout Leakage@RX1,DCS1910 Pout Leakage@RX2,DCS1910 Pout Leakage@RX3,DCS1910 Pout Leakage@RX4,DCS1910 CMOS Pout,DCS1910 Pout Slope,DCS1910 Stress Delta,GSM824 Edge Idle Current,GSM824 Edge 27dBm Pout,GSM824 Edge 27dBm Pin,GSM824 Edge 27dBm Icc,GSM824 Edge 27dBm PAE,GSM824 Edge 27dBm Gain,GSM824 Edge 27dBm EVM,GSM824 Edge 27dBm ACPR (-400kHz),GSM824 Edge 27dBm ACPR (+400kHz),GSM915 Edge Idle Current,GSM915 Edge 27dBm Pout,GSM915 Edge 27dBm Pin,GSM915 Edge 27dBm Icc,GSM915 Edge 27dBm PAE,GSM915 Edge 27dBm Gain,GSM915 Edge 27dBm EVM,GSM915 Edge 27dBm ACPR (-400kHz),GSM915 Edge 27dBm ACPR (+400kHz),DCS1785 Edge Idle Current,DCS1785 Edge 26.5dBm Pout,DCS1785 Edge 26.5dBm Pin,DCS1785 Edge 26.5dBm Icc,DCS1785 Edge 26.5dBm PAE,DCS1785 Edge 26.5dBm Gain,DCS1785 Edge 26.5dBm EVM,DCS1785 Edge 26.5dBm ACPR (-400kHz),DCS1785 Edge 26.5dBm ACPR (+400kHz),DCS1910 Edge Idle Current,DCS1910 Edge 26.5dBm Pout,DCS1910 Edge 26.5dBm Pin,DCS1910 Edge 26.5dBm Icc,DCS1910 Edge 26.5dBm PAE,DCS1910 Edge 26.5dBm Gain,DCS1910 Edge 26.5dBm EVM,DCS1910 Edge 26.5dBm ACPR (-400kHz),DCS1910 Edge 26.5dBm ACPR (+400kHz),TD2025 Idle Current,TD2025 25dBm Pout,TD2025 25dBm Pin,TD2025 25dBm Icc,TD2025 25dBm PAE,TD2025 25dBm Gain,TD2025 25dBm ACLR (-1.6MHz),TD2025 25dBm ACLR (+1.6MHz),TD2025 25dBm ACLR (-3.2MHz),TD2025 25dBm ACLR (+3.2MHz),TD2025 25dBm EVM,Insertion Loss Rx1 869MH,Insertion Loss Rx2 960MHz,Insertion Loss Rx3 1805MHz,Insertion Loss Rx4 1990MHz,Leakage Current,Leakage Current Delay Time,Test Time,Index Time
Low Tolerance,,,60,0.3,0.3,60,,,,60,,2,2,3,2,3,3,3,3,,,,60,0.3,0.3,60,,,,60,,2,2,3,2,3,3,3,3,,,,60,0.3,0.3,60,,,,60,,3,3,3,2,3,3,3,3,,,,60,0.3,0.3,60,,,,60,,3,3,3,2,3,3,3,3,,,,60,0,0.3,60,,,0.5,1.5,1.5,60,0,0.3,60,,,0.5,1.5,1.5,60,0,0.3,60,,,0.5,1.5,1.5,60,0,0.3,60,,,0.5,1.5,1.5,60,,0.3,60,,,1,1,1,1,0.5,0.3,0.3,0.3,0.3,5,,,
High Tolerance,,,60,0.3,0.3,60,,,,60,,2,2,3,2,3,3,3,3,,,,60,0.3,0.3,60,,,,60,,2,2,3,2,3,3,3,3,,,,60,0.3,0.3,60,,,,60,,3,3,3,2,3,3,3,3,,,,60,0.3,0.3,60,,,,60,,3,3,3,2,3,3,3,3,,,,60,0,0.3,60,,,0.5,1.5,1.5,60,0,0.3,60,,,0.5,1.5,1.5,60,0,0.3,60,,,0.5,1.5,1.5,60,0,0.3,60,,,0.5,1.5,1.5,60,,0.3,60,,,1,1,1,1,0.5,0.3,0.3,0.3,0.3,5,,,
Enable,,,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0
1,1,1,898.191,34.076,34.167,1820.908,40.954,33.025,1.486,1533.027,37.401,-29.948,-31.975,-59.051,-25.176,-3.375,-15.034,-3.657,-5.066,12.696,107.95,-0.019,894.532,33.761,34.147,1812.29,40.968,33.031,1.486,1549.925,37.048,-44.459,-39.555,-48.5,-25.054,-3.185,-15.277,-3.601,-4.522,13.574,110.851,-0.074,962.681,31.664,31.927,1134.295,39.254,30.019,1.38,855.886,33.529,-39.814,-34.596,-61.403,-28.761,-20.265,-18.478,-2.399,-3.35,7.837,145.834,-0.047,955.916,31.03,31.615,1166.328,35.528,30.031,1.433,892.828,32.232,-41.128,-33.223,-61.669,-27.741,-18.596,-17.398,-1.729,-2.842,7.955,145.908,-0.065,904.944,26.928,-7.014,980.878,14.486,33.942,6.077,-61.545,-60.246,821.137,26.936,-5.631,974.102,14.647,32.567,6.293,-62.822,-61.102,795.862,26.448,-8.091,813.77,15.865,34.539,5.235,-62.908,-62.68,781.368,26.449,-5.263,850.164,15.753,31.713,4.978,-62.488,-61.949,182.225,25.042,-5.117,657.978,14.514,30.159,-39.103,-42.379,-55.248,-60.154,1.604,-1.412,-1.418,-1.352,-1.623,0.029,5,1680,279226
2,1,2,898.086,33.62,33.744,1835.794,36.86,33.008,1.522,1626.43,35.115,-27.771,-28.438,-60.835,-26.855,-3.28,-16.156,-3.67,-5.067,12.966,102.184,-0.015,893.899,33.819,34.138,1833.355,40.41,33.024,1.453,1561.227,36.721,-41.819,-43.72,-51.665,-26.552,-3.085,-16.686,-3.621,-4.526,13.787,104.586,-0.07,991.125,31.454,31.675,1116.64,37.627,30.036,1.392,864.779,33.316,-37.813,-48.268,-59.171,-33.84,-18.441,-16.587,-2.435,-3.355,8.22,137.404,-0.038,984.839,30.821,31.398,1157.953,34.042,30.018,1.441,907.337,31.62,-38.077,-38.092,-61.394,-30.368,-17.72,-16.131,-1.771,-2.845,8.192,136.823,-0.067,901.328,26.922,-6.711,997.312,14.224,33.633,6.84,-59.881,-58.469,902.029,26.943,-5.73,974.204,14.669,32.673,6.038,-62.777,-60.98,1016.729,26.44,-8.654,1027.626,12.479,35.094,4.53,-64.057,-62.386,999.169,26.456,-5.232,1059.112,12.513,31.688,4.15,-64.851,-63.588,204.857,25.018,-4.706,676.33,14.024,29.724,-36.592,-39.148,-55.099,-57.738,2.033,-1.656,-1.694,-1.852,-1.999,0.028,5,1637,39318
3,1,3,897.975,33.69,33.836,1860.719,37.142,33.011,1.513,1630.942,35.042,-27.57,-28.952,-59.422,-26.18,-3.303,-16.253,-3.668,-5.065,13.029,103.611,-0.03,893.683,33.858,34.177,1849.112,40.423,33.034,1.45,1569.651,36.605,-42.277,-43.511,-51.435,-26.052,-3.102,-16.753,-3.619,-4.524,13.862,105.377,-0.068,997.799,31.538,31.728,1132.699,37.552,30.025,1.388,870.519,33.007,-37.416,-43.204,-58.756,-32.028,-18.371,-16.503,-2.433,-3.354,8.043,141.472,-0.039,991.052,30.917,31.45,1171.111,34.07,30.01,1.436,910.249,31.463,-40.529,-38.956,-62.808,-29.646,-17.714,-16.062,-1.77,-2.846,8.124,141.898,-0.067,898.156,26.912,-6.722,998.091,14.18,33.634,7.092,-59.593,-58.294,898.87,26.936,-5.731,974.409,14.643,32.668,6.088,-62.617,-60.941,1015.737,26.438,-9.299,1027.634,12.472,35.737,4.888,-64.553,-62.109,998.19,26.45,-5.481,1058.917,12.497,31.931,4.184,-64.797,-63.834,204.85,25.036,-4.922,678.172,14.043,29.958,-36.694,-39.317,-54.965,-57.517,1.991,-1.661,-1.65,-1.762,-2.04,0.029,5,1646,16332
4,1,4,890.064,33.673,33.853,1869.753,37.108,33.007,1.532,1637.497,34.873,-26.591,-28.695,-58.019,-27.146,-3.265,-16.582,-3.662,-5.065,13.021,102.117,-0.044,886.294,33.865,34.181,1859.524,40.239,33.037,1.461,1579.437,36.399,-41.932,-42.406,-50.836,-25.768,-3.071,-17.206,-3.611,-4.524,13.803,104.571,-0.074,964.546,31.445,31.666,1111.451,37.728,30.022,1.388,860.737,33.365,-37.968,-42.703,-58.771,-31.619,-18.211,-16.345,-2.426,-3.354,8.387,137.185,-0.037,957.893,30.809,31.388,1156.493,34.01,30.037,1.447,910.26,31.654,-39.183,-38.745,-62.172,-29.48,-17.5,-15.843,-1.761,-2.845,8.399,138.667,-0.07,892.781,26.908,-6.536,998.456,14.163,33.444,7.615,-59.246,-58.104,893.918,26.934,-5.728,974.91,14.627,32.662,6.199,-62.397,-60.806,1018.032,26.442,-8.609,1029.121,12.465,35.051,4.74,-64.509,-62.405,1000.254,26.453,-5.135,1060.597,12.486,31.588,4.18,-64.763,-63.714,213.583,25.026,-4.795,683.992,13.884,29.821,-36.639,-39.239,-55.125,-57.118,2.003,-1.677,-1.676,-1.731,-1.971,0.028,5,1692,20863
5,1,5,881.86,33.619,33.745,1803.993,37.511,33.023,1.555,1594.771,35.937,-30.1,-28.798,-58.338,-26.658,-3.287,-16.437,-3.664,-5.066,12.553,107.618,-0.011,878.034,33.755,34.072,1787.029,40.832,33.014,1.478,1529.448,37.397,-42.957,-43.451,-51.232,-25.876,-3.096,-17.074,-3.613,-4.524,13.417,110.648,-0.066,942.513,31.341,31.577,1086.827,37.801,30.016,1.406,847.917,33.815,-38.384,-43.252,-59.357,-32.308,-18.424,-16.433,-2.428,-3.354,7.903,142.535,-0.033,935.852,30.708,31.292,1129.1,34.076,30.024,1.464,896.487,32.046,-41.257,-38.482,-61.656,-29.677,-17.645,-15.897,-1.764,-2.846,7.953,141.318,-0.066,889.379,26.917,-6.913,982.816,14.42,33.831,7.005,-59.817,-58.533,890.619,26.944,-5.891,959.491,14.899,32.835,5.931,-63.058,-61.427,1018.236,26.444,-8.483,1028.711,12.477,34.927,4.724,-64.108,-61.999,1000.508,26.457,-5.209,1060.078,12.505,31.667,4.31,-64.571,-63.296,201.824,25.035,-4.701,673.395,14.144,29.737,-36.696,-39.254,-55.127,-57.696,2.013,-1.708,-1.693,-1.712,-2.046,0.029,5,1690,16288
6,1,6,896.046,33.639,33.8,1891.203,36.237,33.041,1.55,1685.825,34.138,-27.343,-29.174,-59.225,-26.306,-3.272,-16.118,-3.668,-5.066,12.721,104.856,-0.051,891.833,33.876,34.182,1895.531,39.485,33.023,1.464,1601.302,35.792,-41.642,-43.835,-51.562,-25.744,-3.085,-16.717,-3.618,-4.523,13.5,105.811,-0.056,980.512,31.355,31.575,1097.038,37.434,30.019,1.4,857.524,33.463,-37.481,-42.877,-58.324,-30.723,-18.49,-16.527,-2.432,-3.354,8.042,138.977,-0.033,973.914,30.713,31.277,1141.254,33.591,30.005,1.457,907.271,31.53,-36.439,-39.559,-62.672,-29.064,-17.834,-16.079,-1.767,-2.845,8.093,140.564,-0.062,896.889,26.908,-6.584,1008.894,14.014,33.491,7.822,-58.85,-57.973,898.199,26.938,-5.676,985.738,14.479,32.615,6.391,-62.124,-60.265,1020.747,26.442,-8.48,1030.722,12.447,34.922,4.867,-63.856,-61.618,1003.431,26.45,-5.082,1062.413,12.455,31.532,4.488,-64.891,-63.017,213.845,24.983,-4.633,675.166,13.936,29.616,-36.438,-39.022,-55.525,-57.78,2.063,-1.674,-1.692,-1.814,-2.064,0.029,5,1738,19167
