Header Section,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product,VC5276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Plan,Rev(B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release Date,2013/3/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comment,Qual Band,#1~#5 was generate in Acetec 2013/3/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Section,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
Test Item,Site No,Device ID,GSM915 Idle Current,GSM915 Max Pout@0dBm drive,GSM915 Max Pout,GSM915 Max Icc,GSM915 Max PAE,GSM915 Rated Pout,GSM915 Rated Vramp,GSM915 Rated Icc,GSM915 Rated PAE,GSM915 2nd har@33dBm,GSM915 3rd har@33dBm,GSM915 Max Fwd Iso1,GSM915 Max Fwd Iso2,GSM915 Pout Leakage@RX0,GSM915 Pout Leakage@RX1,GSM915 CMOS Pout,GSM915 Pout Slope1,GSM915 Stress Delta,DCS1785 Idle Current,DCS1785 Max Pout@0dBm drive,DCS1785 Max Pout,DCS1785 Max Icc,DCS1785 Max PAE,DCS1785 Rated Pout,DCS1785 Rated Vramp,DCS1785 Rated Icc,DCS1785 Rated PAE,DCS1785 2nd har@33dBm,DCS1785 3rd har@33dBm,DCS1785 Max Fwd Iso1,DCS1785 Max Fwd Iso2,DCS1785 Pout Leakage@RX0,DCS1785 Pout Leakage@RX1,DCS1785 CMOS Pout,DCS1785 Pout Slope1,DCS1785 Stress Delta,Insertion Loss RX0 960MHz,Insertion Loss RX1 1805MHz,Leakage Current,Leakage Current Wait Time
Low Tolerance,,,60,0.3,0.3,60,0,0,0,60,0,2,2,3,2,3,3,1,0,0,60,0.3,0.3,60,0,0,0,60,0,3,3,3,2,3,3,1,0,0,0.3,0.3,5,0
High Tolerance,,,60,0.3,0.3,60,0,0,0,60,0,2,2,3,2,3,3,1,0,0,60,0.3,0.3,60,0,0,0,60,0,3,3,3,2,3,3,1,0,0,0.3,0.3,10,0
Enable,,,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0
1,1,1,894.347,33.542,33.862,1655.498,42.282,32.966,1.538,1434.504,39.717,-42.472,-37.52,-56.424,-23.621,-1.867,-3.001,11.83,126.238,-0.002,973.808,31.298,31.504,1154,35.448,30.002,1.406,902.804,32.1,-37.119,-39.281,-60.889,-22.65,-1.01,1.914,6.657,158.963,0.001,-1.352,-1.271,5,35
2,1,2,922.016,33.891,34.204,1770.175,42.782,32.994,1.531,1449.455,39.567,-40.672,-39.308,-58.015,-20.44,-0.88,-2.354,9.385,163.222,0,653.324,31.175,31.472,1122,36.172,29.97,1.444,911.276,31.576,-43.033,-37.628,-71.442,-18.882,-0.58,0.519,4.604,200.105,0.001,-1.613,-1.523,7,35
3,1,3,894.247,33.603,33.898,1688.398,41.809,33.038,1.555,1471.26,39.379,-44.244,-37.662,-56.611,-25.829,-1.539,-3.012,11.817,125.898,-0.001,978.579,31.371,31.574,1161,35.802,29.999,1.406,898.034,32.246,-37.23,-42.672,-57.816,-28.239,-0.956,1.789,6.443,160.851,0,-1.361,-1.278,3.5,35
4,1,4,881.09,33.353,33.803,1640.729,42.089,32.969,1.5,1434.66,39.741,-37.769,-41.674,-56.514,-25.926,-1.911,-2.57,12.299,117.166,0,640.901,30.706,31.067,1099,33.677,29.977,1.428,941.355,30.625,-42.539,-40.848,-56.314,-26.38,-0.927,0.076,7.452,134.495,0,-1.688,-1.566,14,35
5,1,5,896.172,33.545,33.859,1682.262,41.585,33.029,1.556,1475.036,39.193,-41.798,-36.201,-55.818,-23.591,-1.845,-2.954,11.623,127.457,-0.001,982.113,31.402,31.594,1182,35.315,29.982,1.406,914.324,31.554,-37.371,-41.057,-57.289,-22.455,-0.937,1.974,6.299,162.637,-0.001,-1.345,-1.277,3.5,35
410,1,410,911.778,33.372,33.586,1552.176,42.315,33.04,1.5,1422.713,40.724,-39.293,-35.368,-49.451,-25.18,2.721,-1.11,11.464,130.374,-0.005,1021.38,31.285,31.51,1190.885,34.377,29.988,1.425,951.854,30.346,-42.433,-38.57,-65.126,-27.58,3.111,1.6,5.73,153.439,0,-1.469,-1.541,1.239,35
411,1,411,876.573,33.24,33.561,1560.985,41.836,32.977,1.519,1436.803,39.752,-38.202,-34.564,-49.372,-24.922,2.855,1.303,11.267,126.871,-0.002,996.204,31.178,31.421,1192.063,33.656,30.012,1.444,957.87,30.323,-34.966,-37.489,-61.644,-25.573,3.561,4.546,6.073,150.324,0,-1.598,-1.584,3.516,35
412,1,412,903.405,33.46,33.711,1634.022,41.372,32.984,1.519,1478.345,38.705,-39.766,-35.508,-49.445,-25.117,2.881,1.466,11.007,131.436,-0.003,1039.08,31.204,31.409,1184.584,33.773,30.027,1.441,948.247,30.728,-35.477,-40.333,-61.333,-26.262,3.605,4.754,5.58,158.631,0.002,-1.603,-1.567,3.512,35
413,1,413,909.288,33.416,33.631,1594.381,41.627,33.029,1.516,1460.306,39.583,-37.023,-36.532,-49.228,-23.503,2.703,1.413,11.022,133.147,-0.001,1043.727,31.165,31.343,1215.692,32.431,30,1.453,969.061,29.892,-35.488,-31.322,-61.651,-22.817,3.586,4.706,5.429,159.304,0.002,-1.57,-1.55,3.512,35
414,1,414,908.02,33.54,33.733,1625.661,41.803,33.008,1.5,1462.023,39.343,-44.606,-37.985,-51.256,-24.616,2.902,-0.771,10.968,137.332,0.001,1025.92,31.224,31.432,1200.664,33.505,30.029,1.444,970.489,30.045,-43.573,-47.02,-58.834,-25.893,3.771,2.16,5.138,162.791,0,-1.486,-1.553,5.078,35
415,1,415,894.756,33.148,33.437,1514.899,41.898,33.033,1.519,1418.009,40.796,-38.022,-36.636,-48.079,-24.823,2.482,-1.147,11.061,133.894,-0.005,1015.086,31.343,31.565,1186.52,34.938,29.986,1.434,946.312,30.507,-41.536,-43.254,-67.643,-24.836,3.075,1.339,5.387,158.941,0.001,-1.456,-1.555,4.019,35
416,1,416,916.841,33.512,33.814,1626.082,42.569,32.997,1.481,1438.623,39.88,-42.237,-39.038,-49.13,-25.25,2.875,-0.707,10.992,132.149,-0.001,1029.788,31.38,31.606,1198.309,34.92,30.018,1.421,938.978,30.967,-42.487,-37.152,-67.58,-26.2,3.159,1.624,5.662,154.642,0,-1.481,-1.546,3.813,35
417,1,417,911.64,33.337,33.627,1592.061,41.649,33.026,1.5,1453.413,39.739,-39.763,-34.83,-48.381,-24.611,2.513,-1.082,10.956,137.913,0,1038.877,31.179,31.39,1176,33.886,29.981,1.425,936.175,30.798,-42.416,-34.875,-67.349,-24.693,2.772,1.366,5.339,163.551,0.003,-1.456,-1.542,3.729,35
418,1,418,917.749,33.304,33.527,1539.693,42.086,33.001,1.489,1415.979,40.554,-38.413,-36.797,-48.417,-21.385,2.326,-1.089,11.114,136.826,0.003,1039.432,31.38,31.588,1216,34.282,30.02,1.425,965.355,30.144,-42.197,-42.475,-67.651,-20.27,3.064,1.517,5.638,162.292,0.001,-1.48,-1.548,3.628,35
419,1,419,878.099,33.324,33.586,1560.954,42.076,33.008,1.5,1431.48,40.181,-40.179,-38.219,-48.827,-24.928,2.495,-0.99,11.089,135.496,0,1004.271,31.17,31.388,1170,34.039,29.98,1.425,938.424,30.719,-42.599,-36.813,-67.487,-25.441,2.843,1.41,5.623,158.024,0,-1.469,-1.532,4.252,35
420,1,420,919.427,33.275,33.478,1511.298,42.389,32.989,1.5,1389.518,41.202,-38.228,-37.036,-48.678,-25.361,2.493,-1.173,11.095,137.787,-0.001,1035.474,31.283,31.488,1184,34.41,29.994,1.425,934.983,30.928,-41.345,-36.195,-67.178,-26.916,2.972,1.592,5.222,160.009,0.004,-1.455,-1.546,3.983,35
421,1,421,894.175,33.188,33.475,1528.697,41.89,32.974,1.5,1409.294,40.498,-38.043,-34.837,-49.107,-24.593,2.559,-1.24,11.311,135.126,-0.005,1021.709,31.068,31.295,1181,33.015,29.987,1.434,952.288,30.322,-42.681,-33.634,-67.689,-24.49,2.74,1.475,5.812,157.788,0.005,-1.466,-1.544,3.347,35
422,1,422,923.826,33.3,33.51,1529.315,42.204,33.03,1.5,1413.747,40.885,-38.117,-37.39,-48.201,-25.533,2.658,-1.15,11.564,126.098,0.001,1035.639,31.241,31.445,1180,34.171,30.008,1.434,945.112,30.696,-42.021,-36.299,-67.417,-26.698,2.847,1.586,5.429,154.911,0.001,-1.461,-1.54,3.505,35
423,1,423,902.825,33.531,33.76,1610.216,42.458,33.025,1.496,1447.312,39.901,-42.319,-37.903,-49.808,-25.457,2.663,-0.98,10.979,134.903,-0.002,1020.779,31.306,31.496,1208,33.784,29.983,1.429,954.303,30.232,-42.548,-36.843,-67.798,-25.581,2.95,1.608,5.586,156.365,0.002,-1.487,-1.546,3.373,35
