Header Section,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product,VC5348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Plan,Rev(-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release Date,2013/6/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Section,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
Test Item,Site No,Device ID,Idle_H_Vbat_880,Idle_H_Vcc_880,Idle_H_Total_880,Pin_H_880,Pout_H_880,Gain_H_880,Icc_H_Vbat_880,Icc_H_Vcc_880,Icc_H_Total_880,PAE_H_Total_880,ACP_L_H_880,ACP_U_H_880,ALT_L_H_880,ALT_U_H_880,EVM_H_880,2fo_H_880,3fo_H_880,Pin_H_915,Pout_H_915,Gain_H_915,Icc_H_Vbat_915,Icc_H_Vcc_915,Icc_H_Total_915,PAE_H_Total_915,ACP_L_H_915,ACP_U_H_915,ALT_L_H_915,ALT_U_H_915,EVM_H_915,2fo_H_915,3fo_H_915,Leakage_Current,Test Time,Index Time
Low Tolerance,,,5,10,10,0.2,,,1,30,30,,1.5,1.5,1.5,1.5,0.5,1.5,1.5,0.2,,,1,30,30,,1.5,1.5,1.5,1.5,0.5,1.5,1.5,5,,
High Tolerance,,,5,10,10,0.2,,,1,30,30,,1.5,1.5,1.5,1.5,0.5,1.5,1.5,0.2,,,1,30,30,,1.5,1.5,1.5,1.5,0.5,1.5,1.5,5,,
Enable,,,1,1,1,1,0,0,0,1,1,,1,1,1,1,1,1,1,1,0,0,0,1,1,,1,1,1,1,1,1,1,1,,
1,1,1,2.386111111,70.05177778,72.43788889,0.545377778,26.98411111,26.367,5.861222222,357.355,363.2158889,40.442,-39.77188889,-39.9418,-53.87977778,-53.54917778,1.154133333,-12.721,-26.98322222,0.352644444,26.96855556,26.926,5.959222222,358.9801111,364.9381111,40.10244444,-40.73708889,-39.71797778,-53.04006667,-52.6982,1.328466667,-12.85533333,-29.86555556,0.397666667,0,0
2,1,2,2.399444444,71.14377778,73.54355556,0.390711111,26.98077778,26.51866667,5.894888889,358.3436667,364.2382222,40.29766667,-40.21622222,-40.29513333,-54.59544444,-54.22584444,1.084133333,-12.717,-26.81722222,0.189311111,26.97122222,27.092,6.003888889,360.8731111,366.8767778,39.92011111,-40.77442222,-39.59131111,-53.3194,-52.9052,1.3388,-12.89433333,-29.36122222,0.388,0,0
3,1,3,2.420444444,71.60644444,74.02722222,0.438711111,26.97477778,26.46466667,5.964555556,356.6046667,362.5685556,40.42266667,-39.82288889,-39.92746667,-53.87711111,-53.49117778,1.1888,-12.72366667,-26.51088889,0.210644444,26.98088889,27.08033333,5.969888889,359.2594444,365.2291111,40.18644444,-40.55408889,-39.48497778,-52.99573333,-52.57753333,1.337133333,-12.82666667,-29.33322222,0.397,0,0
4,1,4,2.353777778,68.85177778,71.20588889,0.199377778,26.98977778,26.71866667,5.955222222,354.3566667,360.3112222,40.81466667,-39.87955556,-39.69746667,-53.97177778,-53.51984444,1.173133333,-12.71366667,-27.28388889,0.021644444,26.97455556,27.263,6.028888889,357.0004444,363.0291111,40.36544444,-39.83975556,-38.73431111,-52.90473333,-52.45253333,1.555466667,-12.942,-30.15088889,0.394333333,0,0
5,1,5,2.449111111,71.54511111,73.99422222,-0.158622222,26.97911111,27.06566667,5.903888889,351.4586667,357.3615556,41.04433333,-40.32688889,-40.44013333,-54.63177778,-54.19417778,1.144133333,-12.714,-27.16488889,-0.358022222,26.97755556,27.646,5.977888889,354.7931111,360.7714444,40.64244444,-40.73942222,-39.65964444,-53.5304,-53.05253333,1.331466667,-12.936,-29.72588889,0.39,0,0
6,1,6,2.463777778,73.30477778,75.76822222,0.136377778,26.99111111,26.783,5.955888889,356.392,362.3468889,40.603,-40.37322222,-40.5798,-54.69111111,-54.29817778,1.088466667,-12.72566667,-26.99788889,-0.141688889,26.97155556,27.42366667,6.040555556,357.6501111,363.6904444,40.26844444,-41.36608889,-40.20997778,-53.83906667,-53.3902,1.177133333,-12.80533333,-29.72222222,0.399333333,0,0
7,1,7,2.534777778,75.14944444,77.68455556,-0.436955556,26.97611111,27.341,5.971222222,353.1943333,359.1648889,40.814,-39.98822222,-39.62913333,-54.15611111,-53.66051111,1.2978,-12.707,-28.05022222,-0.513022222,26.96955556,27.79266667,6.163222222,356.8224444,362.9854444,40.32477778,-38.63975556,-37.68164444,-53.06806667,-52.5892,1.867466667,-13.156,-31.29288889,0.397666667,0,0
8,1,8,2.435444444,71.79711111,74.23255556,-0.345955556,26.97811111,27.25233333,5.838888889,351.281,357.1195556,41.06266667,-40.15688889,-39.83913333,-54.25077778,-53.73884444,1.232466667,-12.70733333,-27.87822222,-0.451355556,26.97322222,27.735,5.983222222,354.3974444,360.3804444,40.64444444,-39.29308889,-38.25664444,-52.9954,-52.50453333,1.6898,-13.098,-30.68255556,0.393333333,0,0
9,1,9,2.392111111,72.22777778,74.61988889,0.836044444,26.97977778,26.072,6.010888889,360.091,366.1005556,40.08533333,-39.93655556,-40.17313333,-54.13277778,-53.77951111,1.1088,-12.72766667,-26.05022222,0.568977778,26.97955556,26.721,6.005888889,363.1144444,369.1207778,39.76044444,-41.16842222,-40.05764444,-53.2184,-52.79186667,1.1818,-12.8,-28.46955556,0.400333333,0,0
10,1,10,2.433111111,71.95144444,74.38455556,-0.465622222,26.97844444,27.37266667,5.934888889,351.5043333,357.4385556,41.031,-39.86755556,-39.26146667,-54.05311111,-53.38884444,1.2978,-12.708,-27.74355556,-0.577688889,26.96322222,27.85166667,6.013555556,354.4481111,360.4617778,40.54544444,-38.04708889,-36.96464444,-52.45106667,-51.84586667,2.000133333,-13.06633333,-30.02388889,0.391,0,0
11,1,11,2.325444444,69.46211111,71.78722222,-0.178955556,26.98344444,27.09033333,5.891222222,352.899,358.7895556,40.924,-39.49655556,-38.7748,-53.65111111,-53.02317778,1.3578,-12.70633333,-27.60288889,-0.226688889,26.97255556,27.50966667,5.963222222,355.7667778,361.7291111,40.49244444,-37.37908889,-36.30997778,-52.06973333,-51.48486667,2.1918,-13.20433333,-30.20855556,0.392333333,0,0
